# Pure pigments absorption data
Wavelength (nm);TRIO;Pheo-a;Pheo-b;b-CAR;LUT;NEX;Chl-a;Chl-b
Molecular weight ;885.500;871.200;885.200;536.900;568.900;600.880;893.509;907.492
515;1.1887E-02;8.7151E+03;9.7152E+03;3.0862E+04;7.8564E+03;1.1903E+03;3.2026E+03;3.2344E+03
514;1.2284E-02;9.5460E+03;9.2610E+03;3.4247E+04;8.9002E+03;1.2798E+03;3.1896E+03;3.2324E+03
513;1.2449E-02;1.0371E+04;8.8550E+03;3.7853E+04;1.0114E+04;1.4242E+03;3.1680E+03;3.2093E+03
512;1.2759E-02;1.1139E+04;8.4758E+03;4.1670E+04;1.1526E+04;1.5458E+03;3.1619E+03;3.2074E+03
511;1.3176E-02;1.1778E+04;8.1521E+03;4.5685E+04;1.3161E+04;1.6731E+03;3.1740E+03;3.1804E+03
510;1.3399E-02;1.2242E+04;7.8784E+03;4.9881E+04;1.5019E+04;1.8267E+03;3.1507E+03;3.1823E+03
509;1.3574E-02;1.2513E+04;7.6280E+03;5.4230E+04;1.7136E+04;2.0343E+03;3.1723E+03;3.2006E+03
508;1.3952E-02;1.2605E+04;7.4098E+03;5.8706E+04;1.9545E+04;2.2132E+03;3.1585E+03;3.1736E+03
507;1.4311E-02;1.2556E+04;7.2220E+03;6.3285E+04;2.2253E+04;2.4643E+03;3.1481E+03;3.1514E+03
506;1.4553E-02;1.2419E+04;7.0790E+03;6.7945E+04;2.5294E+04;2.6822E+03;3.1299E+03;3.1370E+03
505;1.4834E-02;1.2212E+04;6.9573E+03;7.2649E+04;2.8669E+04;2.9356E+03;3.1420E+03;3.1698E+03
504;1.5106E-02;1.1955E+04;6.8715E+03;7.7349E+04;3.2414E+04;3.2670E+03;3.1342E+03;3.1871E+03
503;1.5319E-02;1.1674E+04;6.7982E+03;8.1978E+04;3.6487E+04;3.6225E+03;3.1247E+03;3.1601E+03
502;1.5784E-02;1.1377E+04;6.7320E+03;8.6467E+04;4.0949E+04;4.0663E+03;3.1256E+03;3.1592E+03
501;1.6162E-02;1.1046E+04;6.6855E+03;9.0777E+04;4.5740E+04;4.5950E+03;3.1031E+03;3.1698E+03
500;1.6482E-02;1.0663E+04;6.6372E+03;9.4859E+04;5.0856E+04;5.1958E+03;3.1092E+03;3.2170E+03
499;1.6754E-02;1.0221E+04;6.6086E+03;9.8666E+04;5.6231E+04;5.9343E+03;3.0763E+03;3.2681E+03
498;1.7064E-02;9.6915E+03;6.5818E+03;1.0213E+05;6.1847E+04;6.7084E+03;3.0417E+03;3.3038E+03
497;1.7219E-02;9.0929E+03;6.5710E+03;1.0522E+05;6.7640E+04;7.8173E+03;3.0296E+03;3.3982E+03
496;1.7723E-02;8.4317E+03;6.5639E+03;1.0789E+05;7.3494E+04;9.1257E+03;2.9785E+03;3.4937E+03
495;1.8005E-02;7.7386E+03;6.5460E+03;1.1015E+05;7.9389E+04;1.0753E+04;2.9508E+03;3.6788E+03
494;1.8276E-02;7.0465E+03;6.5406E+03;1.1200E+05;8.5173E+04;1.2788E+04;2.9128E+03;3.8938E+03
493;1.8441E-02;6.4131E+03;6.5352E+03;1.1341E+05;9.0766E+04;1.5237E+04;2.8539E+03;4.1136E+03
492;1.8974E-02;5.8406E+03;6.5263E+03;1.1440E+05;9.6056E+04;1.8157E+04;2.7986E+03;4.4558E+03
491;1.9430E-02;5.3567E+03;6.4977E+03;1.1499E+05;1.0095E+05;2.1669E+04;2.7432E+03;4.8915E+03
490;1.9779E-02;4.9663E+03;6.4637E+03;1.1522E+05;1.0538E+05;2.5876E+04;2.6844E+03;5.4198E+03
489;2.0273E-02;4.6742E+03;6.4405E+03;1.1510E+05;1.0921E+05;3.0821E+04;2.6368E+03;6.0860E+03
488;2.0913E-02;4.4612E+03;6.3850E+03;1.1471E+05;1.1234E+05;3.6560E+04;2.5788E+03;6.8447E+03
487;2.1214E-02;4.3195E+03;6.3367E+03;1.1409E+05;1.1471E+05;4.3063E+04;2.5321E+03;7.7885E+03
486;2.1708E-02;4.2259E+03;6.2652E+03;1.1333E+05;1.1627E+05;5.0282E+04;2.4629E+03;8.9010E+03
485;2.2222E-02;4.1700E+03;6.1990E+03;1.1248E+05;1.1701E+05;5.8222E+04;2.4318E+03;1.0256E+04
484;2.2726E-02;4.1565E+03;6.1346E+03;1.1162E+05;1.1694E+05;6.6644E+04;2.3626E+03;1.1789E+04
483;2.3260E-02;4.1922E+03;6.0649E+03;1.1083E+05;1.1612E+05;7.5361E+04;2.3358E+03;1.3559E+04
482;2.4055E-02;4.2500E+03;5.9808E+03;1.1016E+05;1.1461E+05;8.4125E+04;2.2942E+03;1.5614E+04
481;2.4481E-02;4.3252E+03;5.9272E+03;1.0966E+05;1.1251E+05;9.2717E+04;2.2432E+03;1.7928E+04
480;2.5063E-02;4.3946E+03;5.8663E+03;1.0937E+05;1.0996E+05;1.0052E+05;2.2095E+03;2.0578E+04
479;2.5732E-02;4.4563E+03;5.8324E+03;1.0937E+05;1.0713E+05;1.0736E+05;2.1904E+03;2.3556E+04
478;2.6459E-02;4.5036E+03;5.8145E+03;1.0966E+05;1.0417E+05;1.1283E+05;2.2008E+03;2.6900E+04
477;2.7080E-02;4.5363E+03;5.8020E+03;1.1030E+05;1.0123E+05;1.1655E+05;2.1619E+03;3.0555E+04
476;2.7758E-02;4.5518E+03;5.8270E+03;1.1125E+05;9.8543E+04;1.1841E+05;2.1472E+03;3.4648E+04
475;2.8495E-02;4.5653E+03;5.8807E+03;1.1251E+05;9.6248E+04;1.1831E+05;2.1307E+03;3.9089E+04
474;2.9038E-02;4.5749E+03;5.9701E+03;1.1403E+05;9.4509E+04;1.1635E+05;2.1351E+03;4.4009E+04
473;2.9862E-02;4.5836E+03;6.0863E+03;1.1578E+05;9.3382E+04;1.1276E+05;2.1567E+03;4.9404E+04
472;3.0473E-02;4.5826E+03;6.2670E+03;1.1770E+05;9.2934E+04;1.0787E+05;2.1679E+03;5.5149E+04
471;3.1171E-02;4.5710E+03;6.5102E+03;1.1973E+05;9.3214E+04;1.0211E+05;2.1627E+03;6.1257E+04
470;3.2083E-02;4.5547E+03;6.8160E+03;1.2179E+05;9.4202E+04;9.5839E+04;2.1861E+03;6.7674E+04
469;3.3062E-02;4.5267E+03;7.2310E+03;1.2386E+05;9.5861E+04;8.9544E+04;2.2095E+03;7.4284E+04
468;3.3847E-02;4.4795E+03;7.7765E+03;1.2583E+05;9.8122E+04;8.3549E+04;2.2259E+03;8.0939E+04
467;3.4555E-02;4.3985E+03;8.4686E+03;1.2767E+05;1.0090E+05;7.8191E+04;2.2769E+03;8.7469E+04
466;3.5505E-02;4.2934E+03;9.3808E+03;1.2930E+05;1.0407E+05;7.3687E+04;2.3037E+03;9.3694E+04
465;3.6261E-02;4.1614E+03;1.0574E+04;1.3065E+05;1.0753E+05;7.0022E+04;2.3409E+03;9.9459E+04
464;3.7318E-02;4.0254E+03;1.2078E+04;1.3163E+05;1.1112E+05;6.7473E+04;2.4032E+03;1.0465E+05
463;3.8191E-02;3.8751E+03;1.3933E+04;1.3225E+05;1.1477E+05;6.6041E+04;2.4958E+03;1.0916E+05
462;3.9141E-02;3.7575E+03;1.6254E+04;1.3246E+05;1.1835E+05;6.5621E+04;2.6039E+03;1.1286E+05
461;4.0256E-02;3.6534E+03;1.9080E+04;1.3229E+05;1.2174E+05;6.6387E+04;2.7225E+03;1.1560E+05
460;4.1526E-02;3.5859E+03;2.2509E+04;1.3175E+05;1.2482E+05;6.8209E+04;2.8695E+03;1.1729E+05
459;4.2593E-02;3.5358E+03;2.6617E+04;1.3085E+05;1.2751E+05;7.0900E+04;3.0806E+03;1.1785E+05
458;4.3552E-02;3.5117E+03;3.1444E+04;1.2960E+05;1.2970E+05;7.4410E+04;3.3618E+03;1.1720E+05
457;4.4968E-02;3.5136E+03;3.6911E+04;1.2802E+05;1.3129E+05;7.8652E+04;3.7476E+03;1.1538E+05
456;4.6384E-02;3.5502E+03;4.2862E+04;1.2615E+05;1.3225E+05;8.3520E+04;4.2147E+03;1.1233E+05
455;4.7615E-02;3.6206E+03;4.9191E+04;1.2403E+05;1.3255E+05;8.8837E+04;4.8376E+03;1.0817E+05
454;4.9021E-02;3.7016E+03;5.5687E+04;1.2173E+05;1.3221E+05;9.4439E+04;5.6517E+03;1.0316E+05
453;5.0301E-02;3.8076E+03;6.2105E+04;1.1931E+05;1.3119E+05;1.0018E+05;6.7192E+03;9.7524E+04
452;5.1706E-02;3.9271E+03;6.8284E+04;1.1684E+05;1.2954E+05;1.0580E+05;8.1509E+03;9.1440E+04
451;5.3238E-02;4.0814E+03;7.4030E+04;1.1437E+05;1.2732E+05;1.1104E+05;9.9287E+03;8.5129E+04
450;5.4731E-02;4.2510E+03;7.9400E+04;1.1197E+05;1.2464E+05;1.1581E+05;1.2238E+04;7.8865E+04
449;5.6467E-02;4.4419E+03;8.4599E+04;1.0968E+05;1.2154E+05;1.1981E+05;1.5113E+04;7.2805E+04
448;5.8076E-02;4.6617E+03;9.0004E+04;1.0752E+05;1.1818E+05;1.2300E+05;1.8704E+04;6.7240E+04
447;5.9928E-02;4.9287E+03;9.6197E+04;1.0553E+05;1.1464E+05;1.2506E+05;2.3055E+04;6.2236E+04
446;6.1848E-02;5.2439E+03;1.0369E+05;1.0372E+05;1.1108E+05;1.2604E+05;2.8252E+04;5.7931E+04
445;6.3787E-02;5.6227E+03;1.1290E+05;1.0213E+05;1.0762E+05;1.2586E+05;3.4317E+04;5.4209E+04
444;6.5610E-02;6.0873E+03;1.2391E+05;1.0074E+05;1.0436E+05;1.2442E+05;4.1333E+04;5.1230E+04
443;6.7723E-02;6.6426E+03;1.3634E+05;9.9554E+04;1.0142E+05;1.2179E+05;4.9184E+04;4.8881E+04
442;6.9808E-02;7.3202E+03;1.4930E+05;9.8539E+04;9.8854E+04;1.1807E+05;5.7725E+04;4.7097E+04
441;7.1757E-02;8.1348E+03;1.6146E+05;9.7663E+04;9.6718E+04;1.1344E+05;6.6827E+04;4.5829E+04
440;7.3948E-02;9.1180E+03;1.7130E+05;9.6883E+04;9.5039E+04;1.0811E+05;7.6103E+04;4.4928E+04
439;7.5868E-02;1.0283E+04;1.7733E+05;9.6157E+04;9.3866E+04;1.0241E+05;8.5223E+04;4.4320E+04
438;7.7632E-02;1.1673E+04;1.7854E+05;9.5436E+04;9.3146E+04;9.6590E+04;9.3715E+04;4.3947E+04
437;7.9358E-02;1.3313E+04;1.7472E+05;9.4680E+04;9.2856E+04;9.1143E+04;1.0109E+05;4.3741E+04
436;8.1016E-02;1.5254E+04;1.6646E+05;9.3852E+04;9.2881E+04;8.6268E+04;1.0688E+05;4.3536E+04
435;8.2771E-02;1.7530E+04;1.5493E+05;9.2914E+04;9.3185E+04;8.2057E+04;1.1087E+05;4.3290E+04
434;8.4865E-02;2.0184E+04;1.4163E+05;9.1839E+04;9.3623E+04;7.8697E+04;1.1301E+05;4.2968E+04
433;8.6756E-02;2.3292E+04;1.2789E+05;9.0596E+04;9.4139E+04;7.6174E+04;1.1344E+05;4.2485E+04
432;8.8443E-02;2.6873E+04;1.1490E+05;8.9157E+04;9.4608E+04;7.4542E+04;1.1237E+05;4.1809E+04
431;9.0440E-02;3.0975E+04;1.0334E+05;8.7526E+04;9.4973E+04;7.3707E+04;1.1013E+05;4.0893E+04
430;9.2728E-02;3.5602E+04;9.3622E+04;8.5724E+04;9.5175E+04;7.3610E+04;1.0694E+05;3.9746E+04
429;9.4939E-02;4.0734E+04;8.5829E+04;8.3748E+04;9.5109E+04;7.4143E+04;1.0300E+05;3.8374E+04
428;9.7062E-02;4.6316E+04;7.9807E+04;8.1630E+04;9.4757E+04;7.5093E+04;9.8733E+04;3.6761E+04
427;9.9428E-02;5.2282E+04;7.5318E+04;7.9401E+04;9.4073E+04;7.6432E+04;9.4294E+04;3.5046E+04
426;1.0187E-01;5.8507E+04;7.2065E+04;7.7096E+04;9.3051E+04;7.7933E+04;8.9914E+04;3.3137E+04
425;1.0417E-01;6.4886E+04;6.9759E+04;7.4769E+04;9.1681E+04;7.9423E+04;8.5858E+04;3.1182E+04
424;1.0639E-01;7.1335E+04;6.8223E+04;7.2437E+04;9.0029E+04;8.0713E+04;8.2209E+04;2.9146E+04
423;1.0925E-01;7.7794E+04;6.7309E+04;7.0140E+04;8.8080E+04;8.1978E+04;7.9058E+04;2.7113E+04
422;1.1194E-01;8.4170E+04;6.6935E+04;6.7886E+04;8.5937E+04;8.2894E+04;7.6672E+04;2.5164E+04
421;1.1474E-01;9.0362E+04;6.7034E+04;6.5707E+04;8.3625E+04;8.3234E+04;7.4931E+04;2.3290E+04
420;1.1859E-01;9.8371E+04;6.7561E+04;6.2516E+04;8.0397E+04;8.3012E+04;7.3909E+04;2.1469E+04
419;1.2110E-01;1.0247E+05;6.8143E+04;6.1232E+04;7.8453E+04;8.2239E+04;7.3345E+04;1.9874E+04
418;1.2347E-01;1.0652E+05;6.8817E+04;5.9752E+04;7.6333E+04;8.0971E+04;7.3209E+04;1.8463E+04
417;1.2614E-01;1.1054E+05;6.9273E+04;5.8000E+04;7.3978E+04;7.9079E+04;7.3364E+04;1.7228E+04
416;1.2882E-01;1.1355E+05;6.9241E+04;5.6375E+04;7.1762E+04;7.6641E+04;7.3710E+04;1.6195E+04
415;1.3139E-01;1.1543E+05;6.8550E+04;5.4856E+04;6.9740E+04;7.3796E+04;7.3983E+04;1.5308E+04
414;1.3394E-01;1.1620E+05;6.7175E+04;5.3434E+04;6.7903E+04;7.0640E+04;7.4093E+04;1.4576E+04
413;1.3647E-01;1.1591E+05;6.5111E+04;5.2083E+04;6.6260E+04;6.7244E+04;7.4018E+04;1.3941E+04
412;1.3880E-01;1.1472E+05;6.2434E+04;5.0790E+04;6.4854E+04;6.3833E+04;7.3656E+04;1.3437E+04
411;1.4099E-01;1.1281E+05;5.9270E+04;4.9531E+04;6.3630E+04;6.0449E+04;7.3050E+04;1.2991E+04
410;1.4319E-01;1.1045E+05;5.5746E+04;4.8286E+04;6.2560E+04;5.7181E+04;7.2180E+04;1.2596E+04
409;1.4581E-01;1.0786E+05;5.2033E+04;4.7031E+04;6.1545E+04;5.4261E+04;7.1061E+04;1.2236E+04
408;1.4807E-01;1.0529E+05;4.8310E+04;4.5768E+04;6.0616E+04;5.1692E+04;6.9720E+04;1.1946E+04
407;1.5009E-01;1.0292E+05;4.4788E+04;4.4469E+04;5.9730E+04;4.9557E+04;6.8203E+04;1.1655E+04
406;1.5241E-01;1.0088E+05;4.1637E+04;4.3139E+04;5.8869E+04;4.7811E+04;6.6438E+04;1.1347E+04
405;1.5485E-01;9.9175E+04;3.8879E+04;4.1762E+04;5.7976E+04;4.6458E+04;6.4502E+04;1.1053E+04
404;1.5723E-01;9.7805E+04;3.6545E+04;4.0349E+04;5.6983E+04;4.5342E+04;6.2366E+04;1.0803E+04
403;1.5969E-01;9.6681E+04;3.4613E+04;3.8903E+04;5.5844E+04;4.4624E+04;6.0021E+04;1.0534E+04
402;1.6246E-01;9.5747E+04;3.3073E+04;3.7449E+04;5.4560E+04;4.4190E+04;5.7665E+04;1.0270E+04
401;1.6491E-01;9.4892E+04;3.1846E+04;3.5994E+04;5.3144E+04;4.3791E+04;5.5345E+04;1.0039E+04
400;1.6782E-01;9.4007E+04;3.0822E+04;3.4545E+04;5.1601E+04;4.3462E+04;5.3143E+04;9.8380E+03
399;1.7086E-01;9.3019E+04;2.9985E+04;3.3124E+04;4.9886E+04;4.3090E+04;5.1153E+04;9.6925E+03
398;1.7363E-01;9.1869E+04;2.9301E+04;3.1735E+04;4.8151E+04;4.2451E+04;4.9487E+04;9.6201E+03
397;1.7642E-01;9.0535E+04;2.8718E+04;3.0386E+04;4.6355E+04;4.1855E+04;4.8068E+04;9.5864E+03
396;1.7969E-01;8.8976E+04;2.8183E+04;2.9085E+04;4.4611E+04;4.1056E+04;4.6978E+04;9.6346E+03
395;1.8304E-01;8.7200E+04;2.7720E+04;2.7846E+04;4.2842E+04;4.0109E+04;4.6208E+04;9.7734E+03
394;1.8624E-01;8.5275E+04;2.7300E+04;2.6678E+04;4.1136E+04;3.8940E+04;4.5661E+04;1.0008E+04
393;1.8972E-01;8.3222E+04;2.6906E+04;2.5583E+04;3.9504E+04;3.7576E+04;4.5373E+04;1.0317E+04
392;1.9327E-01;8.1074E+04;2.6522E+04;2.4550E+04;3.7990E+04;3.6027E+04;4.5215E+04;1.0721E+04
391;1.9702E-01;7.8895E+04;2.6136E+04;2.3574E+04;3.6574E+04;3.4421E+04;4.5216E+04;1.1172E+04
390;2.0048E-01;7.6754E+04;2.5712E+04;2.2658E+04;3.5260E+04;3.2684E+04;4.5302E+04;1.1737E+04
