# Pure pigments absorption data
Wavelength (nm);TRIO;Pheo-a;Pheo-b;b-CAR;LUT;NEX;Chl-a;Chl-b
Molecular weight ;885.500;871.200;885.200;536.900;568.900;600.880;893.509;907.492
674;5.9628E-03;5.2193E+04;3.7022E+03;0.0000E+00;0.0000E+00;0.0000E+00;4.4139E+04;1.3738E+03
673;6.6221E-03;5.5554E+04;4.4159E+03;0.0000E+00;0.0000E+00;0.0000E+00;5.1293E+04;1.5791E+03
672;7.0002E-03;5.7982E+04;5.2922E+03;0.0000E+00;0.0000E+00;0.0000E+00;5.8684E+04;1.7835E+03
671;7.2717E-03;5.9319E+04;6.3421E+03;0.0000E+00;0.0000E+00;0.0000E+00;6.5986E+04;2.0621E+03
670;7.6110E-03;5.9501E+04;7.6495E+03;0.0000E+00;0.0000E+00;0.0000E+00;7.2834E+04;2.3513E+03
669;7.8825E-03;5.8561E+04;9.2198E+03;0.0000E+00;0.0000E+00;0.0000E+00;7.9016E+04;2.7321E+03
668;7.9794E-03;5.6597E+04;1.1112E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.4157E+04;3.0975E+03
667;7.8631E-03;5.3752E+04;1.3378E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.7877E+04;3.5698E+03
666;7.9794E-03;5.0270E+04;1.6011E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.9960E+04;4.1598E+03
665;8.1249E-03;4.6359E+04;1.8955E+04;0.0000E+00;0.0000E+00;0.0000E+00;9.0312E+04;4.8279E+03
664;8.4254E-03;4.2272E+04;2.2142E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.8962E+04;5.6358E+03
663;8.2121E-03;3.8163E+04;2.5438E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.6059E+04;6.6017E+03
662;8.2024E-03;3.4215E+04;2.8690E+04;0.0000E+00;0.0000E+00;0.0000E+00;8.1848E+04;7.8164E+03
661;8.2897E-03;3.0487E+04;3.1759E+04;0.0000E+00;0.0000E+00;0.0000E+00;7.6667E+04;9.2876E+03
660;8.0473E-03;2.7030E+04;3.4465E+04;0.0000E+00;0.0000E+00;0.0000E+00;7.0745E+04;1.0953E+04
659;7.8340E-03;2.3875E+04;3.6615E+04;0.0000E+00;0.0000E+00;0.0000E+00;6.4556E+04;1.2948E+04
658;7.7468E-03;2.1042E+04;3.8019E+04;0.0000E+00;0.0000E+00;0.0000E+00;5.8288E+04;1.5269E+04
657;7.3105E-03;1.8551E+04;3.8548E+04;0.0000E+00;0.0000E+00;0.0000E+00;5.2182E+04;1.7920E+04
656;6.9129E-03;1.6387E+04;3.8142E+04;0.0000E+00;0.0000E+00;0.0000E+00;4.6366E+04;2.0849E+04
655;6.6802E-03;1.4513E+04;3.6860E+04;0.0000E+00;0.0000E+00;0.0000E+00;4.0914E+04;2.4010E+04
654;6.3409E-03;1.2905E+04;3.4862E+04;0.0000E+00;0.0000E+00;0.0000E+00;3.6050E+04;2.7384E+04
653;5.8367E-03;1.1526E+04;3.2331E+04;0.0000E+00;0.0000E+00;0.0000E+00;3.1761E+04;3.0839E+04
652;5.5653E-03;1.0349E+04;2.9487E+04;0.0000E+00;0.0000E+00;0.0000E+00;2.7997E+04;3.4186E+04
651;5.2453E-03;9.3513E+03;2.6533E+04;0.0000E+00;0.0000E+00;0.0000E+00;2.4766E+04;3.7267E+04
650;4.9641E-03;8.5088E+03;2.3608E+04;0.0000E+00;0.0000E+00;0.0000E+00;2.1984E+04;3.9911E+04
649;4.6733E-03;7.8205E+03;2.0854E+04;1.5097E+00;0.0000E+00;0.0000E+00;1.9626E+04;4.1967E+04
648;4.3824E-03;7.2624E+03;1.8339E+04;3.7742E+00;0.0000E+00;0.0000E+00;1.7684E+04;4.3338E+04
647;4.2757E-03;6.8170E+03;1.6118E+04;3.7742E+00;0.0000E+00;0.0000E+00;1.6069E+04;4.3876E+04
646;4.1497E-03;6.4565E+03;1.4170E+04;7.5483E+00;0.0000E+00;0.0000E+00;1.4725E+04;4.3596E+04
